T1136.003,https://attack.mitre.org/techniques/T1136/003/,M1032 Multi-factor Authentication,Crear una cuenta: Cuenta en la nube,Create Account: Cloud Account,Los adversarios pueden crear una cuenta en la nube para mantener el acceso a los sistemas de la víctima.,Adversaries may create a cloud account to maintain access to victim systems
T1535,https://attack.mitre.org/techniques/T1535/,M1054 Software Configuration,Regiones de la nube no utilizadas/no admitidas,Unused/Unsupported Cloud Regions,"Si un adversario crea recursos en una región no utilizada, puede ser capaz de operar sin ser detectado.","If an adversary creates resources in an unused region, they may be able to operate undetected"
T1136,https://attack.mitre.org/techniques/T1136/,"M1032 Multi-factor Authentication, M1030 Network Segmentation, M1026 Privileged Account Management",Crear una cuenta,Create Account,Los adversarios pueden crear una cuenta para mantener el acceso a los sistemas de la víctima.,Adversaries may create an account to maintain access to victim systems
T1552,https://attack.mitre.org/techniques/T1552/,"M1041 Encrypt Sensitive Information, M1037 Filter Network Traffic, M1027 Password Policies, M1026 Privileged Account Management",Credenciales no garantizadas,Unsecured Credentials,Los adversarios pueden buscar en los sistemas comprometidos para encontrar y obtener credenciales almacenadas de forma insegura.,Adversaries may search compromised systems to find and obtain insecurely stored credentials
T1204,https://attack.mitre.org/techniques/T1204/,M1017 User Training,Ejecución por parte del usuario,User Execution,Un adversario puede depender de acciones específicas de un usuario para obtener la ejecución.,An adversary may rely upon specific actions by a user in order to gain execution.
T1204.003,https://attack.mitre.org/techniques/T1204/003/,"M1045 Code Signing, M1047 Audit",Ejecución por parte del usuario: Imagen maliciosa,User Execution: Malicious Image,"Las imágenes con respaldo pueden subirse a un repositorio público a través de Upload Malware, y los usuarios pueden entonces descargar y desplegar una instancia o contenedor.","Backdoored images may be uploaded to a public repository via Upload Malware, and users may then download and deploy an instance or container"
T1098,https://attack.mitre.org/techniques/T1098/,"M1032 Multi-factor Authentication, M1026 Privileged Account Management, M1030 Network Segmentation",Manipulación de cuentas,Account Manipulation,Los adversarios pueden manipular las cuentas para mantener el acceso a los sistemas de las víctimas.,Adversaries may manipulate accounts to maintain access to victim systems
T1201,https://attack.mitre.org/techniques/T1201/,Detect,Descubrimiento de la política de contraseñas,Password Policy Discovery,Los adversarios pueden intentar acceder a información detallada sobre la política de contraseñas utilizada en una red empresarial o en un entorno de nube.,Adversaries may attempt to access detailed information about the password policy used within an enterprise network or cloud environment
T1562,https://attack.mitre.org/techniques/T1562/,M1018 User Account Management,Deterioro de las defensas,Impair Defenses,Los adversarios pueden modificar maliciosamente los componentes del entorno de la víctima para obstaculizar o desactivar los mecanismos de defensa.,Adversaries may maliciously modify components of a victim environment in order to hinder or disable defensive mechanisms
T1562.001,https://attack.mitre.org/techniques/T1562/001/,M1018 User Account Management,Deteriorar las defensas: Desactivar o modificar las herramientas,Impair Defenses: Disable or Modify Tools,Los adversarios pueden modificar y/o desactivar las herramientas de seguridad para evitar la posible detección de su malware/herramientas y actividades.,Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities
T1562.008,https://attack.mitre.org/techniques/T1562/008/,M1018 User Account Management,Deteriorar las defensas: Desactivar los registros en la nube,Impair Defenses: Disable Cloud Logs,"Si un adversario tiene suficientes permisos, puede desactivar el registro para evitar la detección de sus actividades.","If an adversary has sufficient permissions, they can disable logging to avoid detection of their activities"
T1578.001,https://attack.mitre.org/techniques/T1578/001/,"M1047 Audit, M1018 User Account Management",Modificar la infraestructura de Cloud Compute: Crear una instantánea,Modify Cloud Compute Infrastructure: Create Snapshot,Un adversario puede crear una instantánea o una copia de seguridad de los datos dentro de una cuenta en la nube para evadir las defensas.,An adversary may create a snapshot or data backup within a cloud account to evade defenses
T1110,https://attack.mitre.org/techniques/T1110/,"M1032 Multi-factor Authentication, M1027 Password Policies, M1018 User Account Management",Fuerza bruta,Brute Force,Los adversarios pueden utilizar técnicas de fuerza bruta para acceder a las cuentas cuando se desconocen las contraseñas o cuando se obtienen los hashes de las mismas.,Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained
T1098.004,https://attack.mitre.org/techniques/T1098/004/,"M1022 Restrict File and Directory Permissions, M1042 Disable or Remove Feature or Program",Manipulación de cuentas: Claves autorizadas SSH,Account Manipulation: SSH Authorized Keys,Los adversarios pueden modificar el archivo SSH authorized_keys para mantener la persistencia en un host víctima.,Adversaries may modify the SSH authorized_keys file to maintain persistence on a victim host
T1078,https://attack.mitre.org/techniques/T1078/,"M1027 Password Policies, M1018 User Account Management, M1017 User Training",Cuentas válidas,Valid Accounts,Las credenciales comprometidas pueden utilizarse para eludir los controles de acceso.,Compromised credentials may be used to bypass access controls
T1621,https://attack.mitre.org/techniques/T1621/,"M1036 Account Use Policies, M1032 Multi-factor Authentication, M1017 User Training",Generación de solicitudes de autenticación multifactoriales,Multi-Factor Authentication Request Generation,Los adversarios pueden abusar de la generación automática de notificaciones push a los servicios MFA para que el usuario conceda acceso a su cuenta.,Adversaries may abuse the automatic generation of push notifications to MFA services to have the user grant access to their account
T1087.004,https://attack.mitre.org/techniques/T1087/004/,M1018 User Account Management,Descubrimiento de la cuenta: Cuenta en la nube,Account Discovery: Cloud Account,Los adversarios pueden intentar obtener un listado de cuentas en la nube.,Adversaries may attempt to get a listing of cloud accounts
T1538,https://attack.mitre.org/techniques/T1538/,M1018 User Account Management,Cuadro de mando de los servicios en la nube,Cloud Service Dashboard,Un adversario puede ser capaz de enumerar la información a través del panel gráfico. Esto permite al adversario obtener información sin realizar ninguna solicitud de API.,An adversary may be able to enumerate information via the graphical dashboard. This allows the adversary to gain information without making any API requests
T1119,https://attack.mitre.org/techniques/T1119/,M1041 Encrypt Sensitive Information,Recogida automatizada,Automated Collection,Esta técnica puede incorporar el uso de otras técnicas como el descubrimiento de objetos de almacenamiento en la nube para identificar recursos en entornos de nube.,This technique may incorporate use of other techniques such as Cloud Storage Object Discovery to identify resources in cloud environments
T1485,https://attack.mitre.org/techniques/T1485/,M1053 Data Backup,Destrucción de datos,Data Destruction,Los adversarios pueden intentar sobrescribir archivos y directorios con datos generados aleatoriamente para hacerlos irrecuperables.,Adversaries may attempt to overwrite files and directories with randomly generated data to make it irrecoverable
T1491,https://attack.mitre.org/techniques/T1491/,M1053 Data Backup,Desplazamiento,Defacement,"Los adversarios pueden modificar el contenido visual disponible interna o externamente en una red empresarial, afectando así a la integridad del contenido original.","Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content"
T1498.002,https://attack.mitre.org/techniques/T1498/002/,M1037 Filter Network Traffic,Denegación de servicio en la red: Amplificación de la reflexión,Network Denial of Service: Reflection Amplification,Los adversarios pueden intentar provocar una denegación de servicio (DoS) reflejando un alto volumen de tráfico de red hacia un objetivo.,Adversaries may attempt to cause a denial of service (DoS) by reflecting a high-volume of network traffic to a target.
T1528,https://attack.mitre.org/techniques/T1528/,M1018 User Account Management,Robar el token de acceso a la aplicación,Steal Application Access Token,Los adversarios pueden robar los tokens de acceso a las aplicaciones como medio de adquirir credenciales para acceder a sistemas y recursos remotos.,Adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources
T1078.001,https://attack.mitre.org/techniques/T1078/001/,M1027 Password Policies,Cuentas válidas: Cuentas por defecto,Valid Accounts: Default Accounts,"Los adversarios pueden obtener y abusar de las credenciales de una cuenta por defecto como medio para obtener Acceso Inicial, Persistencia, Escalada de Privilegios o Evasión de Defensa.","Adversaries may obtain and abuse credentials of a default account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion"
T1098.001,https://attack.mitre.org/techniques/T1098/001/,"M1032 Multi-factor Authentication, M1026 Privileged Account Management",Manipulación de cuentas: Credenciales adicionales en la nube,Account Manipulation: Additional Cloud Credentials,"La manipulación de cuentas puede consistir en cualquier acción que preserve el acceso del adversario a una cuenta comprometida, como la modificación de credenciales o grupos de permisos.","Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups"
T1525,https://attack.mitre.org/techniques/T1525/,"M1045 Code Signing, M1047 Audit",Imagen interna del implante,Implant Internal Image,Los adversarios pueden implantar imágenes de la nube o del contenedor con código malicioso para establecer la persistencia después de obtener acceso a un entorno.,Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment
T1566,https://attack.mitre.org/techniques/T1566/,M1021 Restrict Web-Based Content,Phishing,Phishing,Los adversarios pueden enviar mensajes de phishing para acceder a los sistemas de las víctimas.,Adversaries may send phishing messages to gain access to victim systems
T1550,https://attack.mitre.org/techniques/T1550/,"M1026 Privileged Account Management, M1018 User Account Management",Utilizar material de autenticación alternativo,Use Alternate Authentication Material,Los adversarios pueden utilizar material de autenticación alternativo para moverse lateralmente dentro de un entorno y eludir los controles normales de acceso al sistema.,Adversaries may use alternate authentication material in order to move laterally within an environment and bypass normal system access controls
T1550.001,https://attack.mitre.org/techniques/T1550/001/,M1026 Privileged Account Management,Utilizar material de autenticación alternativo: Token de acceso a la aplicación,Use Alternate Authentication Material: Application Access Token,"Los adversarios pueden utilizar tokens de acceso a aplicaciones robados para eludir el proceso típico de autenticación y acceder a cuentas, información o servicios restringidos en sistemas remotos.","Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems"
T1648,https://attack.mitre.org/techniques/T1648/,M1018 User Account Management,Ejecución sin servidor,Serverless Execution,"Los adversarios pueden abusar de la computación sin servidor, la integración y los servicios de automatización para ejecutar código arbitrario en entornos de nube.","Adversaries may abuse serverless computing, integration, and automation services to execute arbitrary code in cloud environments"
T1562.007,https://attack.mitre.org/techniques/T1562/007/,M1018 User Account Management,Deteriorar las defensas: Desactivar o modificar el cortafuegos de la nube,Impair Defenses: Disable or Modify Cloud Firewall,Un adversario puede introducir nuevas reglas o políticas de firewall para permitir el acceso a un entorno de nube víctima.,An adversary may introduce new firewall rules or policies to allow access into a victim cloud environment
T1578,https://attack.mitre.org/techniques/T1578/,"M1047 Audit, M1018 User Account Management",Modificar la infraestructura de computación en nube,Modify Cloud Compute Infrastructure,Los permisos obtenidos a partir de la modificación de los componentes de la infraestructura pueden eludir las restricciones que impiden el acceso a la infraestructura existente.,Permissions gained from the modification of infrastructure components may bypass restrictions that prevent access to existing infrastructure
