AC-10,CONCURRENT SESSION CONTROL
AC-11,SESSION LOCK
AC-12,SESSION TERMINATION
AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION
AC-16,SECURITY ATTRIBUTES
AC-17,REMOTE ACCESS
AC-18,WIRELESS ACCESS
AC-19,ACCESS CONTROL FOR MOBILE DEVICES
AC-2,ACCOUNT MANAGEMENT
AC-20,USE OF EXTERNAL INFORMATION SYSTEMS
AC-21,INFORMATION SHARING
AC-23,DATA MINING PROTECTION
AC-3,ACCESS ENFORCEMENT
AC-4,INFORMATION FLOW ENFORCEMENT
AC-5,SEPARATION OF DUTIES
AC-6,LEAST PRIVILEGE
AC-7,UNSUCCESSFUL LOGON ATTEMPTS
AC-8,SYSTEM USE NOTIFICATION
CA-2,SECURITY ASSESSMENTS
CA-3,SYSTEM INTERCONNECTIONS
CA-7,CONTINUOUS MONITORING
CA-8,PENETRATION TESTING
CM-10,SOFTWARE USAGE RESTRICTIONS
CM-11,USER-INSTALLED SOFTWARE
CM-12,INFORMATION LOCATION
CM-2,BASELINE CONFIGURATION
CM-3,CONFIGURATION CHANGE CONTROL
CM-5,ACCESS RESTRICTIONS FOR CHANGE
CM-6,CONFIGURATION SETTINGS
CM-7,LEAST FUNCTIONALITY
CM-8,INFORMATION SYSTEM COMPONENT INVENTORY
CP-10,INFORMATION SYSTEM RECOVERY AND RECONSTITUTION
CP-2,CONTINGENCY PLAN
CP-6,ALTERNATE STORAGE SITE
CP-7,ALTERNATE PROCESSING SITE
CP-9,INFORMATION SYSTEM BACKUP
IA-11,RE-AUTHENTICATION
IA-12,IDENTITY PROOFING
IA-2,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS)
IA-3,DEVICE IDENTIFICATION AND AUTHENTICATION
IA-4,IDENTIFIER MANAGEMENT
IA-5,AUTHENTICATOR MANAGEMENT
IA-6,AUTHENTICATOR FEEDBACK
IA-7,CRYPTOGRAPHIC MODULE AUTHENTICATION
