T1078.001,5.6
T1078.004,5.6
T1087.004,5.6
T1098.001,5.6
T1110.001,5.6
T1110.002,5.6
T1110.003,5.6
T1110.004,5.6
T1136.003,5.6
T1190,5.6
T1525,5.6
T1528,5.6
T1530,5.6
T1537,5.6
T1538,5.6
T1552.001,5.6
T1562.001,5.6
T1562.007,5.6
T1562.008,5.6
T1580,5.6
T1078.001,6.7
T1078.004,6.7
T1087.004,6.7
T1098.001,6.7
T1110.001,6.7
T1110.002,6.7
T1110.003,6.7
T1110.004,6.7
T1136.003,6.7
T1190,6.7
T1525,6.7
T1528,6.7
T1530,6.7
T1537,6.7
T1538,6.7
T1552.001,6.7
T1562.001,6.7
T1562.007,6.7
T1562.008,6.7
T1580,6.7
T1078.004,15.2
T1098.001,15.2
T1110.001,15.2
T1110.002,15.2
T1110.003,15.2
T1110.004,15.2
T1119,15.2
T1136.003,15.2
T1530,15.2
T1537,15.2
T1550.001,15.2
T1552.005,15.2
T1078.004,15.3
T1098.001,15.3
T1110.001,15.3
T1110.002,15.3
T1110.003,15.3
T1110.004,15.3
T1119,15.3
T1136.003,15.3
T1530,15.3
T1537,15.3
T1550.001,15.3
T1552.005,15.3
T1078.004,15.5
T1098.001,15.5
T1110.001,15.5
T1110.002,15.5
T1110.003,15.5
T1110.004,15.5
T1119,15.5
T1136.003,15.5
T1530,15.5
T1537,15.5
T1550.001,15.5
T1552.005,15.5
T1078.004,4.11
T1098.001,4.11
T1110.001,4.11
T1110.002,4.11
T1110.003,4.11
T1110.004,4.11
T1136.003,4.11
T1537,4.11
T1552.005,4.11
T1098.004,6.7
T1199,6.7
T1485,6.7
T1486,6.7
T1491.002,6.7
T1498.001,6.7
T1498.002,6.7
T1499.002,6.7
T1499.003,6.7
T1499.004,6.7
T1552.005,6.7
T1046,3.8
T1098.001,3.8
T1136.003,3.8
T1189,3.8
T1190,3.8
T1199,3.8
T1204.003,3.8
T1498.001,3.8
T1498.002,3.8
T1499.002,3.8
T1499.003,3.8
T1499.004,3.8
T1528,3.8
T1530,3.8
T1537,3.8
T1552.001,3.8
T1552.005,3.8
T1566,3.8
T1078.001,3.14
T1078.004,3.14
T1087.004,3.14
T1098.001,3.14
T1110.001,3.14
T1110.002,3.14
T1110.003,3.14
T1110.004,3.14
T1136.003,3.14
T1189,3.14
T1190,3.14
T1199,3.14
T1485,3.14
T1486,3.14
T1491.002,3.14
T1525,3.14
T1528,3.14
T1530,3.14
T1537,3.14
T1538,3.14
T1552.001,3.14
T1562.001,3.14
T1562.007,3.14
T1562.008,3.14
T1580,3.14
T1110.001,4.10
T1110.002,4.10
T1110.003,4.10
T1110.004,4.10
T1204,14.7
T1528,14.7
T1552,14.7
T1552.001,14.7
T1566,14.7
T1204,14.8
T1528,14.8
T1552,14.8
T1552.001,14.8
T1566,14.8
T1040,8.10
T1552,8.10
T1552.001,8.10
T1562.008,8.12
T1562.008,8.6
T1562.008,8.7
T1562.008,8.8
T1190,8.4
T1552,8.4
T1552.005,8.4
T1562.008,8.4
T1046,3.13
T1078.001,3.13
T1078.004,3.13
